claim_amount,frequency,amount_ratio,doc_match,time_gap,fraud
3048,6,1.0777934936350777,1,100,1
40756,3,2.915933319024111,1,5,1
23422,2,1.2045875334293354,1,84,0
9512,5,0.822268326417704,1,75,0
28534,8,6.3550111358574615,1,49,1
18988,2,6.529573590096286,1,9,1
20019,3,1.0037605294825511,1,22,0
6951,8,0.6906796502384738,1,60,1
24325,3,1.4721011861534736,1,78,0
41345,4,2.2989879893238436,1,89,0
44303,8,4.215318744053283,1,32,1
12954,6,1.854810996563574,1,15,1
10184,9,3.1904761904761907,1,119,1
19381,5,4.135054405803285,1,39,1
2970,6,0.1597976971914344,1,64,1
16374,1,1.5674899483055715,1,29,0
11789,9,5.560849056603773,1,27,1
18334,1,2.876824101678958,1,66,1
33265,5,2.2256791114679513,1,118,0
24710,4,3.357793178420981,1,15,1
36996,8,2.4051488753088024,1,45,1
21609,3,2.7360091162319575,1,26,1
35884,4,2.698450894871409,1,104,1
11789,6,0.842131580827202,1,90,1
11541,8,0.9252786017798444,1,111,1
27215,4,1.665238940219054,1,37,0
39727,1,4.055844818785094,1,9,1
21530,8,4.929029304029304,1,23,1
35560,5,7.944593386952636,0,36,1
20256,1,7.097407147862649,1,115,1
3708,9,0.3523375142531357,1,52,1
40224,5,2.827896512935883,0,116,1
35393,6,3.69562493473948,1,91,1
37368,3,2.0102210984991125,0,71,1
6299,6,0.43525428413488115,1,63,1
5757,2,0.8738615664845173,1,81,0
47163,9,2.6097277556440903,1,86,1
32195,8,2.931081573197378,1,94,1
27838,3,14.268580215274218,1,32,1
3717,1,0.34764309764309764,1,40,0
24570,2,13.897058823529411,1,47,1
29865,6,4.792201540436457,1,38,1
26522,4,1.9878578923699595,1,32,0
38641,3,3.483367889660146,1,97,1
48190,7,5.57561032049057,1,7,1
16708,8,0.917215634606939,1,67,1
48063,7,4.114278376990241,1,72,1
32480,5,4.206164206164206,1,92,1
36822,8,4.105016722408027,1,78,1
10503,8,0.6503808285342746,1,68,1
42124,6,2.621281891723709,1,82,1
7150,7,0.419798027242837,1,19,1
21079,3,1.4186015209637257,1,82,0
9705,1,1.6615305598356447,1,67,0
38334,7,2.024077300807857,1,38,1
2279,9,0.28194977112458247,1,86,1
18771,8,1.352377521613833,1,59,1
25557,7,4.382953181272509,1,115,1
28856,9,8.017782717421506,1,25,1
24752,6,1.3246989563821248,1,4,1
42401,2,4.241796718687475,0,18,1
27665,4,3.3803763440860215,1,102,1
13875,7,0.8167530021191429,0,85,1
41760,6,7.934638039141174,1,109,1
48924,7,3.863234365129501,1,92,1
30373,2,7.46815834767642,1,65,1
20250,5,1.6129032258064515,1,29,0
25063,4,2.0806076705960486,1,54,0
29769,7,8.021827000808408,1,69,1
24863,1,2.852897303499713,1,83,1
2762,4,0.16391691394658753,1,109,0
39890,2,2.567584963954686,1,117,1
35888,9,10.735267723601556,1,89,1
1060,8,0.07962740384615384,1,3,1
29145,5,3.112784363985902,1,102,1
24393,3,1.4088598821762734,1,61,0
22520,9,9.61982058949167,1,83,1
6895,5,0.5585709656513286,1,118,0
40887,6,6.470485836366514,1,89,1
12918,9,0.869957572900532,0,10,1
30711,7,3.2017306088407005,0,85,1
20541,7,1.57462629359908,0,7,1
5232,3,0.32653061224489793,0,59,1
30398,2,7.0791802515137405,1,39,1
20426,2,1.083607427055703,1,17,0
25077,8,6.838560130897191,0,98,1
17514,5,4.397188049209139,1,87,1
13651,7,1.786780104712042,1,86,1
8564,2,0.5184019370460048,1,42,0
10323,2,1.0864028625552515,1,34,0
38114,7,3.4661695161877044,1,32,1
14919,3,1.8180599561296613,0,29,1
30629,1,3.2459728698601102,1,16,1
20895,9,3.897593732512591,0,103,1
13676,1,4.483934426229508,1,30,1
35801,4,31.267248908296942,1,25,1
26280,5,1.719220201491561,1,49,0
24895,4,2.1788027306143882,1,61,0
46028,6,25.486157253599114,1,46,1
41970,2,2.5417877906976742,1,4,1
49988,6,4.961095672886066,1,110,1
12593,2,0.6916190685413005,1,113,0
44513,3,2.9286795183893677,1,5,1
9245,7,0.623314455231931,1,113,1
27172,3,1.7472831329174974,1,99,0
8287,9,1.4602643171806167,1,98,1
18674,9,1.311468502001545,1,92,1
33284,9,1.7892699709708633,1,76,1
29841,9,2.01983213753892,1,5,1
16585,8,2.00036183813774,1,72,1
22754,5,3.614614773629865,1,70,1
41996,5,3.0256484149855907,0,45,1
48327,3,18.651871864145118,1,40,1
27572,1,3.3163338946355543,1,92,1
48456,9,6.1150933871781925,1,89,1
27292,4,5.760236386661038,1,7,1
49874,9,2.871272308578008,1,42,1
41329,5,8.717359206918372,1,82,1
19787,2,1.1586929788604556,1,12,0
34062,2,3.1301231391288367,1,17,1
32966,2,2.3569028383498964,0,109,1
2007,6,0.17145053818554587,1,74,1
22736,2,9.337166324435318,1,94,1
27660,6,1.9066657475701385,0,100,1
8491,1,0.5354057632889841,0,10,1
10077,1,0.8137769522732778,0,50,1
24821,4,7.2406651108518085,1,29,1
45064,6,2.9235759698974957,1,75,1
30241,7,2.3623935630028905,0,98,1
37124,4,2.4283097854526425,0,105,1
17422,7,4.532258064516129,1,116,1
47766,4,11.670168580503299,0,67,1
45413,8,22.843561368209254,1,80,1
29602,4,1.7277768049962061,1,69,0
6626,1,0.4781698780399798,1,15,0
12425,3,1.244491185897436,1,18,0
39158,8,5.170738148686122,1,93,1
4380,8,0.44776119402985076,1,50,1
31707,7,1.728561304039688,1,24,1
45859,3,2.821918651159929,1,25,1
48837,7,3.8957402680280793,1,84,1
35531,9,5.227453288215389,1,60,1
6109,5,0.3490857142857143,1,72,0
30759,1,5.9529707760789625,1,94,1
31015,2,1.6521067490544932,1,38,0
27143,9,1.397179183610439,1,8,1
33981,3,2.3599555524689215,0,76,1
39559,6,2.3244021387860627,1,40,1
23431,2,1.3477710670117917,1,105,0
46004,1,2.9774124652126077,1,103,1
44201,6,40.588613406795226,1,114,1
4041,7,0.20960630738108824,1,67,1
2925,9,0.3694581280788177,1,95,1
27015,9,5.500916310323763,1,62,1
26683,7,18.301097393689986,1,4,1
12653,6,1.3178835537964795,1,41,1
30545,2,1.8683099883784942,1,12,0
2560,3,0.4429065743944637,0,119,1
3356,7,0.18971170152628603,0,70,1
40825,3,24.578567128236003,1,56,1
3920,3,0.2608985024958403,1,61,0
40004,6,2.755475960876154,1,76,1
8005,5,0.45633337133736174,1,24,0
9595,5,0.695138737955517,1,20,0
34723,8,2.0520654807635483,1,96,1
7563,5,0.5816350073060063,1,34,0
12171,6,0.8961125018406715,1,115,1
46241,6,2.7862738009158834,1,21,1
20342,1,1.4778060297856883,0,44,1
1525,2,1.1098981077147017,1,38,0
5648,6,2.1345427059712776,1,103,1
48064,4,5.156528269498981,0,17,1
27616,2,2.4573767574301475,1,76,0
33419,7,7.640374942844079,1,10,1
45738,6,2.590947714269529,1,93,1
12083,9,1.153838808250573,1,8,1
14994,1,1.2979570637119113,0,84,1
43267,9,10.355911919578746,1,101,1
16563,5,3.625875656742557,1,56,1
18774,6,11.596046942557134,1,20,1
21337,2,10.841971544715447,1,20,1
1281,1,0.17639768658771687,1,101,0
29404,5,2.8827450980392157,1,12,1
42235,5,12.841289145636972,1,43,1
1125,2,0.08330864928909952,1,57,0
16398,8,2.1468970934799687,1,23,1
41363,6,3.15386961494472,0,45,1
13595,2,1.1343345848977888,1,8,0
11225,5,1.099843229472859,1,96,0
14669,5,1.0969116877290062,1,65,0
48414,7,2.9205525728418893,1,30,1
29625,1,6.277813095994914,1,113,1
30259,8,5.562316176470588,1,33,1
36840,3,2.523633374434854,1,53,1
43287,5,3.3647104547221143,1,66,1
38873,6,2.1646619890856442,1,41,1
22592,9,15.182795698924732,0,98,1
49508,6,18.56317960254968,1,70,1
37321,2,18.6605,1,109,1
39218,1,16.568652302492605,1,71,1
27200,5,5.755395683453237,1,71,1
35958,5,2.728638640157839,1,89,1
18824,1,1.8962425707665962,1,44,0
15437,3,1.2646022773818302,1,74,0
26537,9,2.5970835779996087,1,72,1
36631,2,3.1327289831523135,1,93,1
2177,9,2.1533135509396635,0,48,1
12556,4,1.0444185659624023,1,87,0
17173,2,1.2112427704894908,1,21,0
34174,7,6.292395507273062,1,15,1
9906,3,0.7593131994481067,0,13,1
38650,2,2.6391259815636734,1,112,1
29211,3,1.6702498713477043,1,18,0
13289,1,1.1235204599256003,1,89,0
21829,7,1.3063435068821065,1,39,1
8052,7,0.40784075368485034,1,61,1
7441,8,0.6975719508765351,0,54,1
43368,8,3.978715596330275,1,13,1
16222,6,7.05304347826087,1,9,1
38384,8,3.3041232676250325,1,42,1
7295,1,1.7266272189349112,1,68,0
46105,8,9.845184710655563,1,74,1
24384,2,4.057237936772046,1,97,1
43422,2,2.430426508451808,1,33,0
18014,5,1.0391093677895709,0,37,1
17014,3,8.562657272269753,1,11,1
10160,9,1.2065075406721293,0,64,1
47882,7,3.817428047516543,0,19,1
39467,6,3.346646315610956,1,109,1
